product_id,category,subcategory,brand,product_name,list_price,unit_cost
P0001,Electronics,Smart Home,AlpenCore,AlpenCore Smart Home Item 1,107.02,62.0
P0002,Books,Children,HomeNest,HomeNest Children Item 2,8.83,4.29
P0003,Sports,Cycling,Auralux,Auralux Cycling Item 3,39.21,26.54
P0004,Electronics,Accessories,VitaGlow,VitaGlow Accessories Item 4,71.75,45.7
P0005,Beauty,Haircare,PeakWay,PeakWay Haircare Item 5,21.17,11.69
P0006,Electronics,Accessories,ComfyHaus,ComfyHaus Accessories Item 6,71.43,47.36
P0007,Home,Furniture,HomeNest,HomeNest Furniture Item 7,63.42,28.77
P0008,Home,Kitchen,Lumora,Lumora Kitchen Item 8,62.36,38.4
P0009,Electronics,Accessories,MiraBelle,MiraBelle Accessories Item 9,116.64,45.42
P0010,Fashion,Women,Bookora,Bookora Women Item 10,31.64,12.32
P0011,Home,Kitchen,Velora,Velora Kitchen Item 11,38.64,26.04
P0012,Fashion,Bags,ComfyHaus,ComfyHaus Bags Item 12,34.46,14.48
P0013,Sports,Cycling,PeakWay,PeakWay Cycling Item 13,40.3,16.94
P0014,Electronics,Accessories,AlpenCore,AlpenCore Accessories Item 14,97.37,64.76
P0015,Electronics,Audio,Auralux,Auralux Audio Item 15,36.37,17.71
P0016,Home,Bedding,SwiftFit,SwiftFit Bedding Item 16,29.87,16.93
P0017,Fashion,Men,VitaGlow,VitaGlow Men Item 17,26.26,10.06
P0018,Electronics,Smart Home,HomeNest,HomeNest Smart Home Item 18,234.6,144.18
P0019,Sports,Cycling,MiraBelle,MiraBelle Cycling Item 19,29.05,11.91
P0020,Home,Kitchen,TechNova,TechNova Kitchen Item 20,25.61,16.21
P0021,Home,Decor,MiraBelle,MiraBelle Decor Item 21,155.18,100.95
P0022,Beauty,Skincare,ComfyHaus,ComfyHaus Skincare Item 22,26.07,15.79
P0023,Home,Furniture,Lumora,Lumora Furniture Item 23,60.07,39.33
P0024,Home,Furniture,ComfyHaus,ComfyHaus Furniture Item 24,87.62,57.61
P0025,Home,Decor,TechNova,TechNova Decor Item 25,55.63,33.7
P0026,Home,Furniture,Auralux,Auralux Furniture Item 26,32.39,20.17
